Frequency (Hz)	Z (Ω)	-Phase (°)	Z' (Ω)	-Z'' (Ω)	Column 6
630960	34.5755249686039	49.8802794326597	22.2800142787297	26.4398920306826	
398110	48.8596990652573	59.9760373830568	24.4475441258641	42.3035196994462	
251190	71.0396792235978	66.8622437852894	27.9145564931775	65.3254434350114	
158490	105.054733268152	71.6546072175579	33.0654040140446	99.7154754259863	
100000	156.13118230038	75.2391871732754	39.7797964776582	150.978521249582	
63096	233.906997311961	78.2451218099612	47.6527280089318	229.001530354722	
39811	354.713328293658	80.8938689141754	56.1382534106345	350.242832579295	
25119	544.521998977481	83.6070227540898	60.6309591154317	541.135929473523	
15849	845.714300258559	85.1936714709451	70.8606329263971	842.740439496702	
10000	1322.09086035312	86.3552891426574	84.0444066035765	1319.41683358516	
6309.6	2073.17397921428	87.1619828226667	102.648009547787	2070.63124052233	
3981.1	3255.07869748061	87.7117221200557	129.966721514871	3252.4830480866	
2511.9	5105.12614138454	88.1201996571775	167.462532037436	5102.37878051124	
1584.9	8056.69626586292	88.3728088670392	228.778151236948	8053.44741572738	
1000	12683.3650203245	88.5690904008214	316.722494979192	12679.4098876866	
630.96	19973.6150223032	88.7025919305123	452.244737937905	19968.4944789582	
398.11	31465.1466539167	88.8069454847273	655.142889928019	31458.3254758778	
251.19	49596.4897663248	88.880587373167	968.926601487325	49587.0242944875	
158.49	78303.1068152245	88.9766389359076	1398.49899725496	78290.6171739062	
100	123637.985369872	89.0187205981659	2117.38941978278	123619.853131954	
63.096	195096.251436326	89.0107298615733	3368.36862894075	195067.17155197	
39.811	307545.0921282	88.9972138125578	5382.35500865264	307497.990150674	
25.119	485641.439641426	88.8605383169455	9657.4885734777	485545.405509568	
15.849	764149.518672689	88.6817299163399	17580.1181634944	763947.266722684	
10	1208528.91202685	88.5259173402526	31089.1134728727	1208128.96589242	
Frequency (Hz)	Z (Ω)	-Phase (°)	Z' (Ω)	-Z'' (Ω)	Column 6
1000000	26.0488230892702	35.8334850007966	21.1183491981249	15.2498036538887	-0.25
630960	34.5489857689328	49.786412043199	22.3061659653227	26.3830888561101	
398110	48.8233550230539	59.8996076987559	24.4857259799615	42.2394273036627	
251190	70.9563699793643	66.8069279604625	27.9448017402009	65.2218866359238	
158490	104.849567057225	71.6317951114088	33.0404502711846	99.5075894490707	
100000	155.795658009663	75.2600832387469	39.6393631549793	150.668536673492	
63096	233.633418982999	78.2841887163783	47.4410209979476	228.766090127794	
39811	354.396066197927	80.9428767005608	55.7887105597805	349.977415715132	
25119	544.252803223584	83.6352124470956	60.3348687616324	540.898158092858	
15849	845.582834686315	85.2153561523062	70.530711010366	842.63619025088	
10000	1321.6598388146	86.3564728296804	83.9897575859154	1318.98841926535	
6309.6	2072.92859193058	87.1597774218908	102.715552014602	2070.38220206262	
3981.1	3255.64965096058	87.714461719393	129.833973187002	3253.05975801341	
2511.9	5105.26350425739	88.119578705812	167.522337179104	5102.51425421316	
1584.9	8030.66238895592	88.3783091153398	227.268279381711	8027.44589110248	
1000	12683.0287707159	88.5672822057557	317.114236516727	12679.0637414521	
630.96	19971.8801364836	88.703441976887	451.909227407953	19966.7667446748	
398.11	31468.1963885207	88.8074341398808	654.938066334345	31461.3801362205	
251.19	49607.6256906011	88.901057162943	951.424396282945	49598.5011696618	
158.49	78092.5377100684	88.9856499998837	1382.45833299294	78080.3000439676	
100	123598.530374918	89.028029935275	2096.63452776028	123580.746212735	
63.096	195031.918955939	89.0223332488778	3327.76639647558	195003.526589769	
39.811	307879.317856785	88.9615390484283	5579.87250896454	307828.75009775	
25.119	484961.500713568	88.8967148986613	9337.82100885201	484871.59359274	
15.849	764126.694248975	88.8089670894386	15883.098279702	763961.603781829	
10	1208850.79929875	88.588506501172	29777.2798469679	1208483.99599256	
Frequency (Hz)	Z (Ω)	-Phase (°)	Z' (Ω)	-Z'' (Ω)	Column 6
1000000	26.0556432933708	35.8662078945674	21.1151632594293	15.2658582450849	0
630960	34.5399228294716	49.8025952566015	22.2928637323769	26.3824656860485	
398110	48.7738128566693	59.897495610244	24.4624352292225	42.1956642705562	
251190	70.8810261112393	66.8032638842198	27.9192954730856	65.1508465245751	
158490	104.818201928478	71.6314133802152	33.0312291825165	99.4776022741368	
100000	155.80054006229	75.2549650361096	39.6540647110016	150.669716385201	
63096	233.607257838282	78.2936405512842	47.3979738171223	228.748296152678	
39811	354.48519192301	80.9503773067991	55.7569130117257	350.072732363	
25119	544.233429108421	83.6377732456411	60.3085466827403	540.881599387635	
15849	845.550853358776	85.215864362319	70.520569572507	842.604945916485	
10000	1321.08989620884	86.3634987756411	83.7918654660004	1318.42991362712	
6309.6	2071.92323103555	87.1646581811718	102.489454436457	2069.38681426023	
3981.1	3255.71366713997	87.7077905200107	130.215300735266	3253.10858377897	
2511.9	5103.22403186325	88.1177739464042	167.616074418223	5100.47060289374	
1584.9	8027.52515780463	88.3780262593555	227.219109687136	8024.30879486696	
1000	12676.4122246694	88.5655081050732	317.341191048273	12672.4394438566	
630.96	19963.9170604196	88.7008165612657	452.643599545728	19958.7849872456	
398.11	31448.8796469539	88.8097089555149	653.287687188743	31442.0935410853	
251.19	49589.4475499862	88.8820959224195	967.483624164231	49580.0089123611	
158.49	78293.3586937557	88.9836414789191	1388.75759775388	78281.0409223317	
100	123540.059048615	89.0231297513222	2106.20681776568	123522.103619458	
63.096	194883.489391798	89.0327526701946	3289.79870771642	194855.720116156	
39.811	307316.869646398	89.0220854825814	5244.97685150623	307272.108378044	
